retirement_id,path,tracking,role,documented_origin,known_consumers,disposition,risk_if_left,risk_if_removed,confidence,preserve_before_action,removal_or_retirement_conditions,protective_test,recovery,primary_package,package_dependencies,execution_authorization,roadmap_note
RT-023,FOLLOWUP_CHUNK09_GLOBAL_MAIL_WORKSPACE_DESIGN.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK09_GLOBAL_MAIL_WORKSPACE_DESIGN.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-024,FOLLOWUP_CHUNK09_READ_PLANNER_REMEDIATION.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK09_READ_PLANNER_REMEDIATION.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-025,FOLLOWUP_CHUNK13_CALENDAR_TASKS_DESIGN.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK13_CALENDAR_TASKS_DESIGN.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-026,FOLLOWUP_CHUNK15_QDRANT_RESTORE_DIAGNOSIS.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK15_QDRANT_RESTORE_DIAGNOSIS.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-027,FOLLOWUP_CHUNK16_KNOWLEDGE_BASE_VECTOR_DESIGN.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK16_KNOWLEDGE_BASE_VECTOR_DESIGN.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-028,FOLLOWUP_CHUNK18_SEMANTIC_SEARCH_BENCHMARK.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK18_SEMANTIC_SEARCH_BENCHMARK.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-029,FOLLOWUP_CHUNK20_SECURITY_HARDENING_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK20_SECURITY_HARDENING_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-030,FOLLOWUP_CHUNK21_WINDOWS_REPRODUCIBILITY_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK21_WINDOWS_REPRODUCIBILITY_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-031,FOLLOWUP_CHUNK22_FINAL_OPERATIONS_ACCEPTANCE_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK22_FINAL_OPERATIONS_ACCEPTANCE_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-032,FOLLOWUP_CHUNK26_CONTACT_PERSON_DECISION.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_CHUNK26_CONTACT_PERSON_DECISION.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-033,FOLLOWUP_F0_SCOPE_SEMANTICS_FINAL_ACCEPTANCE.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_F0_SCOPE_SEMANTICS_FINAL_ACCEPTANCE.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-034,FOLLOWUP_GLOBAL_ADVANCED_ANALYSIS_DESIGN.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_GLOBAL_ADVANCED_ANALYSIS_DESIGN.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
RT-035,FOLLOWUP_LLM_HARDWARE_CAPACITY_REPORT.md,tracked origin/main,raport/projekt/diagnoza historyczna,udokumentowany etap Followup,brak runtime importu; referencje ręczne i dowodowe możliwe,ARCHIVE_EVIDENCE,nagłówki PASS/FINAL mogą mylić przyszłych agentów,"utrata decyzji, ograniczeń lub dowodu regresji",MEDIUM,skatalogować commit/datę i przenieść nadal obowiązujące decyzje do przyszłej roadmapy,po zatwierdzeniu nowej roadmapy; nie wcześniej niż mapowanie unikalnych ustaleń,link/rg audit + porównanie z master/followup,git show 483f9bf8:FOLLOWUP_LLM_HARDWARE_CAPACITY_REPORT.md,R24,R23;aktualny consumer audit;exact-path approval,NOT_AUTHORIZED,"To 51 dowodów historycznych, nie 51 automatycznych deletion candidates. Sprawdzić referencje i zachować provenance."
