requirement_id,source_document,section_lines,classification,requirement,owner_clarification,user_scenario,measurable_acceptance,entrypoints,implementation,runtime,evidence,business_acceptance,evidence_refs,gap_risk_dependency,minimal_direction,primary_package,supporting_packages,finding_ids,roadmap_status,reconciliation_note,package_exit
M-011,AI_LAB_MASTER_PLAN.txt,215-295,wymaganie,"Dokument, strony, assety i pochodzenie","Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Każdy materiał zachowuje checksum, źródło i powiązania","models/document.py, document_page.py, document_asset.py",PRESENT,ACTIVE,INTEGRATION,DEMONSTRATED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Tylko 57 dokumentów ma chunks i mało stron/assetów jest zmaterializowanych.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R10,R14,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Proces istniejący działa dla zatwierdzonych formatów i ograniczeń. Aktywacja nowej pracy produkcyjnej dopiero po osobnym planie rollout/pause.
M-012,AI_LAB_MASTER_PLAN.txt,215-295,wymaganie,Trwałe rozmowy i komunikaty,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Historia użytkownika i Asystenta jest serwerowa i właścicielska,"models/conversation.py, message.py, assistant_run.py",PRESENT,ACTIVE,INTEGRATION,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Wyścig delete/publikacja pozostaje w main; poprawka tylko w rescue.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R06,R16,FND-006,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Poprawki działają na docelowym kandydacie z izolowaną integracją; po R16 także w aplikacji. Nie przenosić statusu rescue PASS do produkcji bez deploy evidence.
M-013,AI_LAB_MASTER_PLAN.txt,215-295,wymaganie,Oferty jako wersjonowane encje,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Draft, rewizje, statusy i approval są trwałe","przeszukano backend/app/models, api, services i frontend/lib",NOT_FOUND_IN_AUDITED_SCOPE,NOT_APPLICABLE,NONE,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,"Brak modelu, API i UI ofert.",Dostarczyć brakującą funkcję jako mały zatwierdzony pakiet z projektem danych/API/UI.,R18,,FND-001,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"M-013/M-051/M-052 mają działające encje, API/UI i odbiór właściciela; sam wygenerowany tekst nie wystarcza."
M-014,AI_LAB_MASTER_PLAN.txt,215-295,wymaganie,Umowy jako wersjonowane encje,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Umowa powstaje z zaakceptowanej oferty i ma approval,"przeszukano backend/app/models, api, services i frontend/lib",NOT_FOUND_IN_AUDITED_SCOPE,NOT_APPLICABLE,NONE,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,"Brak modelu, API i UI umów.",Dostarczyć brakującą funkcję jako mały zatwierdzony pakiet z projektem danych/API/UI.,R19,,FND-001,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,M-014/M-053 i końcowa część §42 działają w UI ze źródłem warunków i pełnym audytem.
M-015,AI_LAB_MASTER_PLAN.txt,296-345,wymaganie,Flutter CRM jako główny interfejs,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Lista i Client 360 są responsywne na Windows/Android/Web,"frontend/lib/features/clients, app_shell.dart",PRESENT,ACTIVE,INTEGRATION,DEMONSTRATED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Android runtime niezweryfikowany w tym audycie.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R16,R04;R20,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Kamień K1: działający CRM + analityczny Asystent, gotowy do osobnego kontrolowanego wydania, mimo nadal otwartych ofert/umów/metod. Nie oznaczać pełnego Masterplan PASS."
M-016,AI_LAB_MASTER_PLAN.txt,346-408,wymaganie,"Wyszukiwanie, filtrowanie i sortowanie klientów","Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Server-side wyniki są poprawne i zachowują stan UI,"client_service.py, global_search_service.py, clients_page.dart",PRESENT,ACTIVE,INTEGRATION,DEMONSTRATED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Brak bieżącego dużego testu wydajności produkcyjnej.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R20,,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Istniejące DEMONSTRATED pozostają objęte regresją, braki mają małe zakończone slice, a nie nową implementację CRM."
M-017,AI_LAB_MASTER_PLAN.txt,346-408,wymaganie,Pełny profil Client 360,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Sekcje klienta są leniwe, edytowalne i powiązane","client_details_page.dart, client_workspace_panels.dart",PRESENT,ACTIVE,INTEGRATION,DEMONSTRATED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,"Nie wszystkie sekcje z pełnego masterplanu istnieją, zwłaszcza oferta/umowa.",Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R20,R18;R19,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Istniejące DEMONSTRATED pozostają objęte regresją, braki mają małe zakończone slice, a nie nową implementację CRM."
M-018,AI_LAB_MASTER_PLAN.txt,409-471,wymaganie,"Import manualny, e-mail i aparat","Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Każde wejście tworzy canonical Document z provenance,"document_service.py, document_archive_service.py, Gmail/n8n ingestion",PRESENT,ACTIVE,CODE_ONLY,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Pokrycia mailbox->DB nie udało się bezpiecznie dowieść.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R12,R10;R20,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Nowy przepływ przyjęcia i powiązania odebrany; historyczne rekordy mają rozstrzygniętą klasę lub jawny backlog zaakceptowany przez właściciela.
M-019,AI_LAB_MASTER_PLAN.txt,409-471,ograniczenie,"Walidacja typów, rozmiaru i integralności","Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Niebezpieczne/pliki > limit fail-closed,"document_file_safety_service.py, document_service.py",PRESENT,ACTIVE,UNIT,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Macierz typów ma niespójności ODP/ODS i formaty CAD są nieobsługiwane.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R10,R21,FND-020;FND-021,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Proces istniejący działa dla zatwierdzonych formatów i ograniczeń. Aktywacja nowej pracy produkcyjnej dopiero po osobnym planie rollout/pause.
M-020,AI_LAB_MASTER_PLAN.txt,409-471,wymaganie,Deduplikacja po checksum,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Ten sam plik nie tworzy niekontrolowanych duplikatów,"document_service.py, repositories/document_repository.py",PRESENT,ACTIVE,INTEGRATION,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Reuse historycznego dokumentu może nie mieć aktualnego preparation/intelligence.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R10,,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Proces istniejący działa dla zatwierdzonych formatów i ograniczeń. Aktywacja nowej pracy produkcyjnej dopiero po osobnym planie rollout/pause.
M-021,AI_LAB_MASTER_PLAN.txt,409-471,wymaganie,Dopasowanie dokumentu do klienta z kontrolą,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Pewne dopasowanie jest deterministyczne, konflikt idzie do review","document_client_matching.py, candidate services",PARTIAL,ACTIVE,INTEGRATION,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,225 aktywnych gmail attachments bez klienta; ponowna rekonsyliacja jest źle spięta.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R12,,FND-003,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Nowy przepływ przyjęcia i powiązania odebrany; historyczne rekordy mają rozstrzygniętą klasę lub jawny backlog zaakceptowany przez właściciela.
M-022,AI_LAB_MASTER_PLAN.txt,472-538,wymaganie,Zdjęcia terenowe i EXIF/GPS,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Zdjęcie zachowuje czas, GPS i powiązanie z inspection","document_metadata_service.py, documents API, intake UI",PARTIAL,ACTIVE,UNIT,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Brak fizycznego scenariusza aparat->inspection w tym audycie.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R20,R16,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Istniejące DEMONSTRATED pozostają objęte regresją, braki mają małe zakończone slice, a nie nową implementację CRM."
M-023,AI_LAB_MASTER_PLAN.txt,539-592,wymaganie,Metadane formatów bez utraty Unicode,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Ekstrakcja nie zapisuje niedozwolonych surrogate i jest idempotentna,"document_metadata_service.py, document_metadata_text_safety.py",PRESENT,ACTIVE,UNIT,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Historyczny Document 8903 nadal zawiera invalid JSON surrogate.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R11,R10,FND-019,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Błąd naprawiony lub potwierdzone wcześniejsze usunięcie; zachowany chroniony dowód i reversibility.
M-024,AI_LAB_MASTER_PLAN.txt,593-715,wymaganie,Automatyczna lokalna Document Intelligence,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Każdy nowy wspierany dokument dostaje accepted current artifact bez AssistantRun,"document_preparation_dispatcher.py, document_intelligence_service.py",PRESENT,DISABLED,INTEGRATION,FAILED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,"Flaga preparation=false, 15 queued, 0 artifacts.","Najpierw domknąć istniejący kod i bezpieczny odbiór runtime, bez tworzenia równoległego pipeline.",R10,,FND-002,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Proces istniejący działa dla zatwierdzonych formatów i ograniczeń. Aktywacja nowej pracy produkcyjnej dopiero po osobnym planie rollout/pause.
M-025,AI_LAB_MASTER_PLAN.txt,593-715,wymaganie,"Kategoria, podsumowanie i kluczowe dane dokumentu","Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Artefakt jest związany z checksum/generation i użyteczny w AI,"document_intelligence_service.py, models/document_intelligence_artifact.py",PRESENT,DISABLED,UNIT,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Brak produkcyjnego artefaktu.,"Najpierw domknąć istniejący kod i bezpieczny odbiór runtime, bez tworzenia równoległego pipeline.",R10,,FND-002,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Proces istniejący działa dla zatwierdzonych formatów i ograniczeń. Aktywacja nowej pracy produkcyjnej dopiero po osobnym planie rollout/pause.
M-026,AI_LAB_MASTER_PLAN.txt,593-715,ograniczenie,Confidence i review zamiast zgadywania,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,Niewystarczające dane mają jawny limitation/review,"document_intelligence_service.py, schemas/analysis.py",PRESENT,DISABLED,UNIT,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Brak live case.,"Najpierw domknąć istniejący kod i bezpieczny odbiór runtime, bez tworzenia równoległego pipeline.",R15,R10;R13;R17,,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,"Obie ścieżki Temporary Chat mają dzisiejszy evidence i wersję workerów; poprawność, użyteczność i bezpieczeństwo odebrane razem."
M-027,AI_LAB_MASTER_PLAN.txt,716-763,wymaganie,DocumentPage jako trwała jednostka,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Numer strony, tekst, OCR, render i status są powiązane z dokumentem","models/document_page.py, document_page_service.py",PRESENT,ACTIVE,INTEGRATION,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,436 stron dla 5988 aktywnych dokumentów.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R10,,FND-022,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Proces istniejący działa dla zatwierdzonych formatów i ograniczeń. Aktywacja nowej pracy produkcyjnej dopiero po osobnym planie rollout/pause.
M-028,AI_LAB_MASTER_PLAN.txt,764-812,wymaganie,DocumentAsset dla obrazów osadzonych,"Decyzje 2026-09-07: Qwen 9B pozostaje reasonerem, Temporary Chat pozostaje dla Visual/Advanced, KB pozostaje, Android przez istniejący emulator; bez równoległego redesignu.",Użytkownik realizuje opisany przypadek w autoryzowanym zakresie.,"Asset zachowuje hash, indeks, render i analizę","models/document_asset.py, document_asset_extraction_service.py",PRESENT,ACTIVE,UNIT,NOT_VERIFIED,AUDIT_REPORT.md; TEST_EVIDENCE.md; RUNTIME_MANIFEST.json,Tylko 10 aktywnych assetów; XLSX charts/shapes nie mają pełnych renderów.,Zachować implementację; uzupełnić brakujący dowód biznesowy/E2E.,R10,R05;R15;R21,FND-021,PLANNED_NOT_ACCEPTED,Status audytu zachowany; mapowanie nie jest potwierdzeniem odbioru.,Proces istniejący działa dla zatwierdzonych formatów i ograniczeń. Aktywacja nowej pracy produkcyjnej dopiero po osobnym planie rollout/pause.
