finding_id,requirement_ids,severity,description,production_or_product_impact,confidence,evidence_reproduction,status,root_cause,minimal_change_direction,closure_criterion,primary_package,supporting_packages,roadmap_status,reconciliation_note
FND-020,M-019;M-071,P1,"CAD nie jest obsługiwany, 41 aktywnych DWG",Pełny zakres dokumentacji technicznej nie jest analizowany,HIGH,format inventory i file-safety/extraction routes,REPRODUCED,Brak bezpiecznego parsera/renderera CAD,Najpierw product decision i jeden format pilotażowy read-only,Synthetic CAD ma bezpieczny preview/material lub jawny unsupported UX,R21,R10,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-021,M-019;M-028,P2,Office coverage jest niespójne dla ODP/ODS i XLSX charts/shapes,Część wizualnej informacji biurowej nie trafia do AI,HIGH,"render list vs file-safety; assets tylko 10, xlsx media bez chart render",CODE_SUPPORTED_NOT_REPRODUCED,Różne allowlisty i brak arkuszowego renderera,Ujednolicić allowlistę i dodać jawne limitation/preview,Matrix formatów ma jeden canonical status i testy,R10,R21,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-022,M-027;M-035;M-037;F-018;F-020,P1,Pokrycie dokumentów/KB jest częściowe,Wyszukiwanie nie obejmuje większości istniejących dokumentów,HIGH,5988 docs vs 57 chunks/57 vectors; KB 5 current indexed,REPRODUCED,Historyczny korpus nie przeszedł nowych pipeline bez owner gate,"Najpierw bezpieczny coverage report, potem mały zatwierdzony batch",Mierzalne coverage per format/status bez masowego automatu,R14,R10;R13,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-023,M-036;M-070,P1,Własność modeli jest procesowa i ginie po restarcie backendu,Rezydentny Qwen może być uznany za obcy i powodować fałszywy wait,HIGH,_owned_resident_models process-local; restart scenario tests,CODE_SUPPORTED_NOT_REPRODUCED,Brak trwałej/provable owner identity,Minimalnie rozpoznać tylko bezpieczny własny warm model po hash/config lub jawnie unload before restart,Restart synthetic nie tworzy permanent wait ani nie dotyka external model,R09,R04,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-024,M-069;M-070,P1,OCR/LibreOffice/backup nie współdzielą admission z generatorami,Ciężkie prace mogą się nakładać i naruszyć zasoby,MEDIUM,Static call-path inventory; brak wspólnej koordynacji,HYPOTHESIS,Każdy dispatcher ma własny mechanizm,Dodać 1-2 warunki wokół istniejących dispatcherów po pomiarze,Kontrolowany synthetic overlap nie przekracza floor i zachowuje postęp,R09,R10;R22,PLANNED_NOT_CLOSED,HYPOTHESIS: najpierw mierzalny test overlap; brak automatycznej zgody na globalny scheduler.
FND-025,M-068;F-027,P2,Owner retention policy nie jest ustawiona w schedule,"Automatyczna ochrona miejsca nie działa, ale dane są bezpieczne",HIGH,"3 schedules auto_delete=false, keep_days/min%=null; gate=false",OWNER_DECISION_REQUIRED,Aktywacja celowo wstrzymana,Osobny dry-run i jawna zgoda na konfigurację/gate,"E/F 10/12, 60/14, zero unsafe deletes, restore copy retained",R22,R03,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-026,M-067;F-017;F-021,P1,Brak bieżącego live restore/drill,Backups verified nie dowodzą odtwarzalności całości,HIGH,"37/37 verified, 0 restore runs",UNVERIFIED,Audyt read-only nie mógł uruchomić restore,Owner-gated isolated restore acceptance,DB/files/Qdrant restore do izolowanego targetu z checksum,R03,R23,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-027,M-073,P1,W repo są sprzeczne dokumenty „aktywny/canonical plan”,Agenci mogą realizować nieaktualny priorytet,HIGH,"AGENTS.md, CODEX_MASTER_EXECUTION.md, FULL_SYSTEM_ROADMAP, Followup",REPRODUCED,Roadmapy narastały bez wycofania poprzednich,Po zatwierdzeniu jednej nowej roadmapy poprawić references i wycofać stare z aktywnego drzewa,Master+Followup+1 roadmap bez sprzecznych instrukcji,R01,,READY_FOR_REVIEW,"R01 wycofał dokładnie trzy zatwierdzone ścieżki i zaktualizował aktywne wskazania. Master+Followup+jedna roadmapa sterują pracą; odbiór właściciela nadal oczekiwany. Bez wpływu na aplikację/runtime i bez utraty approval gates."
FND-028,M-072;F-031,P1,"Pierwotny worktree jest 12 commitów za main, ma 203 dirty/untracked i jest używany przez runtime pomocniczy",Ryzyko wdrożenia/testu innej treści niż zatwierdzona,HIGH,"HEAD 7295..., origin 483f..., manifest 203, gateway paths",REPRODUCED,Długotrwała praca w jednym brudnym katalogu,"Nie czyścić; najpierw zachować/adoptować, potem immutable deployments","Każdy live component ma clean pinned root, cudza praca zachowana",R00,R04,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-029,M-050;M-063,P2,Legacy RAG/Agent/Business/Technical nadal jawnie używają llama3.2,Różne ekrany AI mają różną jakość i politykę zasobów,HIGH,GENERATION_MODEL constants w 4 services,REPRODUCED,Unified Assistant nie zastąpił starszych aktywnych API/UI,Zmapować konsumentów i konsolidować do Qwen bez usuwania kompatybilności,"Stare klienty zachowane, główne ścieżki używają Qwen i wspólnego guard",R09,R16;R24,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-030,M-056,P1,Brak mechanizmu aktualności norm/wiedzy zewnętrznej,AI może bazować na małym lub przestarzałym KB,HIGH,KB 10 items; brak dedicated official-update connector,REPRODUCED,Zakres zewnętrznej wiedzy nie został ukończony,"Zaprojektować kuratorski import wersjonowanych źródeł, nie otwarty web",Każda norma ma wersję/datę/provenance i review,R13,R17,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-031,M-041;F-018,P1,KB ma 3 current not_ready i 1 current failed,Asystent nie ma pełnego oczekiwanego korpusu,HIGH,read-only KB status aggregate,REPRODUCED,Nieukończone process/review/index,"Owner/admin rozstrzyga failed/review, potem bounded index",Wszystkie zatwierdzone current items indexed albo jawnie excluded,R13,R14,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-032,F-030,P2,Dodatkowy PostgreSQL 10 jest aktywny bez ustalonej własności,"Cleanup może uszkodzić inny system, pozostawienie zużywa zasoby",HIGH,container app-postgres-postgres-1 mount C:\geocore,OWNER_DECISION_REQUIRED,"Nie należy do compose AI-Lab, brak bezpiecznego owner proof",Ustalić właściciela poza tym audytem,Jawne przypisanie i osobna decyzja retain/retire,R24,R00,PLANNED_NOT_CLOSED,Nieznana własność = retain/hold; bez zatrzymywania kontenera innego projektu.
FND-033,M-033;M-073,P2,Obraz backend runtime nie zawiera pytest,Część bieżących testów pytest nie może być uruchomiona bez innego środowiska,HIGH,python -m pytest: No module named pytest,REPRODUCED,Runtime image nie jest test image,Zdefiniować osobny pinned test image/dependency lock,pytest suites uruchamialne offline na exact commit,R02,,PLANNED_NOT_CLOSED,Brak pytest w runtime image nie jest błędem produkcji; rozwiązaniem jest oddzielne pinned środowisko testowe.
FND-034,M-031;M-033,P2,DOC-03 testy zanieczyszczają się rekordami innych modułów,Kolejność suite powoduje 13 fałszywych fail mimo 18/18 na świeżej DB,HIGH,146-run=13 fail; fresh DB DOC03=18/18,REPRODUCED,Test zakłada pustą globalną kolejkę i nie izoluje row scope,Test fixture ma własny DB/schema lub cleanup by test namespace,DOC03 przechodzi sam i w losowej kolejności suite,R02,R10,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-035,F-019,P3,16 advanced_queued nie ma odpowiadającej pracy Supervisor,"Status może mylić operacyjnie, lecz obecnie nie wykonuje się",HIGH,DB 16; Supervisor analysis queued=0 active=null,REPRODUCED,Historyczne syntetyczne/kwalifikacyjne artefakty pozostawiono,Nie mutować; oznaczyć/retire dopiero w owner-gated cleanup,Provenance dowodzi inert i UI nie pokazuje jako live work,R24,R15,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
FND-036,M-057;F-019,P1,Bieżący Temporary Chat/Visual runtime nie został smoke-testowany,"Nie dowiedziono trybu temporary, AUTH/UI_CHANGED i no-fallback na obecnej sesji",HIGH,Brak model/external calls zgodnie z audit safety,UNVERIFIED,Brak bezpiecznej autoryzowanej syntetycznej ścieżki w tym zleceniu,Oddzielny smoke tylko synthetic po resource/session preflight,"Temporary session potwierdzona, no regular-chat fallback, spool bounded",R15,R05;R16,PLANNED_NOT_CLOSED,Zachowano ocenę z audytu; przed naprawą test właściwej wersji i aktualnego stanu.
